system:index,Date,Latitude,Longitude,LST_Celsius,NDVI,Air_Temperature_C,Dew_Point_Temperature_C,Relative_Humidity_%,WindDirection,WindSpeed,Rainfall_mm,impervious_percentage,Cluster,UHI_Label
20250331_203,2025-03-31,19.31997297297299,72.91556862745098,30.97775802612307,0.575,30.97775802612307,15.63796450297042,39.536992024941306,129.23252326274064,1.6998578265367863,0.0012844799925915,3.0992817412262563,1,High UHI
20250331_204,2025-03-31,19.31997297297299,72.96458823529412,31.49777755737307,0.2891,31.49777755737307,15.54860903422042,38.163010740034906,112.04928668749184,1.338709869478328,0.0012844799925915,1.1683067730401728,1,High UHI
20250331_205,2025-03-31,19.31997297297299,73.01360784313725,31.49777755737307,0.3213,31.49777755737307,15.54860903422042,38.163010740034906,112.04928668749184,1.338709869478328,0.0012844799925915,0.6232357676438286,1,High UHI
20250331_206,2025-03-31,19.31997297297299,73.06262745098039,31.797175343831384,0.2107,31.797175343831384,15.54128481547042,37.50151343348554,89.78977825523481,1.177288986039233,0.0012844799925915,13.197282274897468,1,High UHI
20250331_207,2025-03-31,19.31997297297299,73.11164705882352,31.797175343831384,0.3093,31.797175343831384,15.54128481547042,37.50151343348554,89.78977825523481,1.177288986039233,0.0012844799925915,5.776115798443722,1,High UHI
20250331_208,2025-03-31,19.31997297297299,73.16066666666666,31.796768442789755,0.1454,31.796768442789755,15.41457583109542,37.19877234763475,77.30742491532531,1.1498793265239575,0.0013142823149792,6.764672352274098,1,High UHI
20250331_209,2025-03-31,19.31997297297299,73.20968627450979,31.796768442789755,0.2827,31.796768442789755,15.41457583109542,37.19877234763475,77.30742491532531,1.1498793265239575,0.0013142823149792,2.659369316928751,1,High UHI
20250331_210,2025-03-31,19.31997297297299,73.25870588235293,31.83664474487307,0.3066,31.83664474487307,15.238387680053734,36.69704319116517,71.63025951379488,1.0954261770884783,0.0013142823149792,0.3470604441971123,1,High UHI
20250331_211,2025-03-31,19.31997297297299,73.30772549019606,31.83664474487307,0.2984,31.83664474487307,15.238387680053734,36.69704319116517,71.63025951379488,1.0954261770884783,0.0013142823149792,0.2578507005392635,1,High UHI
20250331_212,2025-03-31,19.31997297297299,73.3567450980392,31.83664474487307,0.3445,32.239151255289755,15.16481997172042,35.70017165778102,67.94732393716599,1.0321741401190676,0.0013142823149792,0.0735957762145996,1,High UHI
